spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.0469583	5	286	0.702481589005445	0	BFGS
2	0.0575344	13	878	0.00264419142563957	0	BFGS
3	0.0247038	6	341	1.12092168081185	0	BFGS
4	0.0297983	7	428	0.613650202903855	0	BFGS
5	0.0468298	13	865	0.00489705617948284	5.55111512312578e-17	BFGS
6	0.0436965	13	949	0.00538035587506188	2.22044604925031e-16	BFGS
7	0.0115729	6	357	0.256435628456946	0	BFGS
8	0.0130781	7	402	0.433661664556161	0	BFGS
9	0.0100286	5	287	1.25572321657326	0	BFGS
10	0.0176602	8	546	1.1900415994384	-3.88578058618805e-16	BFGS
11	0.0240919	9	646	0.452702662447822	1.11022302462516e-16	BFGS
12	0.0165952	5	356	0.66737599283264	-1.83186799063151e-15	BFGS
13	0.0316027	10	644	1.18394438492298	0	BFGS
14	0.0236035	10	679	0.204990714925835	3.33066907387547e-16	BFGS
15	0.0119379	5	356	0.680912192126001	-1.11022302462516e-15	BFGS
16	0.0209469	11	784	0.759590380156518	1.66533453693773e-16	BFGS
17	0.0198739	9	656	0.402399681403077	-5.55111512312578e-17	BFGS
18	0.0228168	12	835	0.096129137564114	-5.55111512312578e-17	BFGS
19	0.0097646	6	359	0.82460863327034	0	BFGS
20	0.0132809	5	361	0.393419408992832	-7.21644966006352e-16	BFGS
21	0.0349769	12	852	0.423834466204512	-3.33066907387547e-16	BFGS
22	0.0172743	8	569	1.14334608051969	-5.55111512312578e-17	BFGS
23	0.0373046	12	768	1.06118572845351	0	BFGS
24	0.0139982	5	356	0.115244538047892	-2.22044604925031e-16	BFGS
25	0.021501	5	360	0.601433408669895	-9.43689570931383e-16	BFGS
26	0.0164662	6	361	1.29804288282131	0	BFGS
27	0.0377579	10	717	0.0289919177435771	0	BFGS
28	0.0403404	7	505	0.291400980264256	2.77555756156289e-16	BFGS
29	0.049493	9	579	1.24467453017839	0	BFGS
30	0.0327404	5	347	0.638639374707889	-1.22124532708767e-15	BFGS
31	0.0472372	8	599	0.904005401160692	-2.77555756156289e-16	BFGS
32	0.046181	10	631	1.1417721942841	0	BFGS
33	0.0417976	6	427	0.738804595944994	-7.7715611723761e-16	BFGS
34	0.0215905	7	497	0.134713530392044	-9.43689570931383e-16	BFGS
35	0.0169663	4	288	0.839007464085472	-2.77555756156289e-16	BFGS
36	0.0144271	4	289	0.333881018628684	-5.55111512312578e-16	BFGS
37	0.0290571	8	538	0.624223908035592	-5.55111512312578e-16	BFGS
38	0.0409594	12	858	0.0457465015636206	-5.55111512312578e-17	BFGS
39	0.012052	6	358	0.980297795222046	0	BFGS
40	0.0231278	11	740	0.108016737552282	5.55111512312578e-17	BFGS
41	0.0094431	4	281	0.155398375328788	-1.0547118733939e-15	BFGS
42	0.0195429	10	635	1.21441373226138	0	BFGS
43	0.025262	13	872	0.214483003536791	-4.44089209850063e-16	BFGS
44	0.0135012	7	426	0.656367125342819	0	BFGS
45	0.0113458	4	276	0.295393611414567	-3.33066907387547e-16	BFGS
46	0.0273206	7	425	0.26627036589709	0	BFGS
47	0.0152916	5	286	1.0663297715152	0	BFGS
48	0.0105594	6	360	1.23638629259098	0	BFGS
49	0.0093888	5	359	0.048739789309708	-1.66533453693773e-16	BFGS
50	0.0229787	11	783	0.0540533363155256	1.11022302462516e-16	BFGS
