spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	0.0253863	10	721	1.06471828028858	-1.4432899320127e-15
2	0.0096799	4	287	0.539353440292636	-1.38777878078145e-15
3	0.0107134	5	364	0.0864736732188264	-3.33066907387547e-16
4	0.0085071	5	289	1.2513276846475	0
5	0.0233179	10	673	1.19687210384231	-5.55111512312578e-17
6	0.0110001	5	353	1.16777715635287	-1.60982338570648e-15
7	0.0117143	7	418	1.25971413793074	0
8	0.0206185	9	640	0.00744579539009288	3.33066907387547e-16
9	0.0191906	9	622	0.990462382279318	1.66533453693773e-16
10	0.0120112	5	356	0.754851824806347	-6.10622663543836e-16
11	0.0090835	4	282	0.0759072898740175	2.22044604925031e-16
12	0.0228183	10	676	1.2615320520611	0
13	0.0214425	9	639	0.373679961843657	0
14	0.0158872	9	554	1.21808605929418	0
15	0.0119872	6	430	1.07174442191357	-1.72084568816899e-15
16	0.0120627	7	425	1.28726616943308	0
17	0.0162994	9	540	1.1580997762622	0
18	0.0156365	8	564	1.08682444074139	-2.22044604925031e-16
19	0.0134093	8	470	0.216290227437039	0
20	0.0173052	9	661	0.447940928676619	-2.22044604925031e-16
21	0.0066745	4	270	0.0751215693529643	-2.22044604925031e-16
22	0.0173488	9	596	0.858065093597635	-4.44089209850063e-16
23	0.0205062	9	625	0.516377722688264	-2.22044604925031e-16
24	0.0109786	6	359	0.275382883830685	0
25	0.0134435	6	361	1.24666675486034	0
26	0.0105625	5	286	0.834227858961205	0
27	0.0149862	8	483	0.610839502793025	0
28	0.0092901	5	357	0.0400607896002319	-7.7715611723761e-16
29	0.0145262	7	488	0.943543689781671	-1.66533453693773e-16
30	0.0229117	8	564	0.808319920757457	-3.33066907387547e-16
31	0.0186961	7	432	1.30350952735099	0
32	0.0191321	8	525	1.16641995751438	-6.10622663543836e-16
33	0.0126693	6	358	1.15660863102202	0
34	0.0202534	10	678	1.24551334154075	0
35	0.0095036	4	285	0.0459329486367984	-2.22044604925031e-16
36	0.0106183	5	357	0.0555890387323405	-5.55111512312578e-16
37	0.0176088	8	551	0.95984753355556	-1.11022302462516e-16
38	0.0191721	10	624	1.28287366961219	0
39	0.0144479	7	438	0.827369026744688	0
40	0.0160696	8	484	1.22939074156845	0
41	0.0153427	8	477	1.27539549383793	0
42	0.019947	9	653	0.872422933787249	1.11022302462516e-16
43	0.0157701	8	483	1.2215758213823	0
44	0.0169811	9	561	1.27962797911348	0
45	0.0202245	10	608	1.16057851609985	0
46	0.0119999	6	423	0.772185992827472	-6.10622663543836e-16
47	0.0126352	6	357	0.0472556363824131	0
48	0.0186106	9	632	0.121173381929366	1.66533453693773e-16
49	0.0110024	4	287	1.18062408683429	-4.44089209850063e-16
50	0.0155452	6	424	0.865399405841417	-1.22124532708767e-15
