spl	Metodo	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	BFGS	0.0059692	7	8	2.25682630904993e-07	0
2	BFGS	0.0058709	6	7	1.10447508154891e-07	-2.22044604925031e-16
3	BFGS	0.0057962	7	8	2.44956026829428e-07	0
4	BFGS	0.0064202	9	10	2.13495782439386e-07	0
5	BFGS	0.0050789	7	8	2.51548898031967e-06	0
6	BFGS	0.005	7	8	5.59202189452952e-07	0
7	BFGS	0.0061153	8	9	8.12546187295495e-07	0
8	BFGS	0.004052	6	7	4.49723919893185e-07	0
9	BFGS	0.0052057	7	8	1.25704456996517e-07	-3.33066907387547e-16
10	BFGS	0.0079474	6	7	3.53459206735952e-08	-3.33066907387547e-16
11	BFGS	0.0102749	8	9	7.3444710524534e-08	0
12	BFGS	0.0155422	8	9	5.38320653037103e-08	0
13	BFGS	0.0129657	7	8	2.01197564255863e-08	0
14	BFGS	0.0086459	6	7	3.44485598950405e-07	0
15	BFGS	0.0067822	8	9	5.05728141371335e-08	0
16	BFGS	0.0062134	8	9	2.31902356839051e-08	0
17	BFGS	0.0050992	6	7	1.78942967986437e-07	2.22044604925031e-16
18	BFGS	0.0057556	7	8	3.26578442812088e-08	1.11022302462516e-16
19	BFGS	0.0057587	8	9	1.97807123553592e-07	0
20	BFGS	0.0052383	8	9	1.58480822308404e-07	0
21	BFGS	0.0059167	7	8	1.07316320393124e-06	0
22	BFGS	0.0043492	6	7	1.30604876387476e-05	0
23	BFGS	0.0060816	8	9	6.17178420533972e-08	0
24	BFGS	0.0065148	9	10	1.46032019647185e-07	0
25	BFGS	0.0054522	8	9	6.2242246853912e-08	0
26	BFGS	0.0079736	8	9	8.05244870174159e-06	0
27	BFGS	0.0066662	8	9	2.35669685761229e-07	0
28	BFGS	0.0074777	8	9	1.29479057311013e-07	0
29	BFGS	0.0077608	8	9	1.95067705694514e-07	-2.22044604925031e-16
30	BFGS	0.006021	7	8	1.17739827043858e-07	0
31	BFGS	0.0061616	8	9	2.78695454780316e-07	0
32	BFGS	0.005788	7	8	2.08181414291676e-07	0
33	BFGS	0.0067208	8	9	1.33892383730749e-07	0
34	BFGS	0.0061045	7	8	3.16031345898873e-07	0
35	BFGS	0.0077648	9	10	3.82791369687319e-08	0
36	BFGS	0.0054833	7	8	2.1724342360312e-06	0
37	BFGS	0.0075642	8	9	1.49628395539296e-08	0
38	BFGS	0.0060575	7	8	2.68648026930547e-08	-3.33066907387547e-16
39	BFGS	0.0081116	8	9	4.82357175690527e-08	-1.11022302462516e-16
40	BFGS	0.0045912	6	7	1.62013231145068e-06	0
41	BFGS	0.0041717	6	7	2.18983094063614e-08	0
42	BFGS	0.007176	7	8	5.24659442643209e-06	0
43	BFGS	0.0053164	7	8	3.12839925055797e-07	0
44	BFGS	0.0070551	7	8	4.85378931865858e-07	0
45	BFGS	0.0057259	6	7	3.07192634533601e-07	1.11022302462516e-16
46	BFGS	0.0072395	8	9	1.6143933743049e-07	0
47	BFGS	0.0067638	6	7	1.30631982657447e-07	4.44089209850063e-16
48	BFGS	0.0075576	8	9	2.62047043140258e-07	0
49	BFGS	0.005721	7	8	6.97474041277013e-07	0
50	BFGS	0.005651	6	7	2.95283752820979e-07	-5.55111512312578e-16
