spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.0081625	8	9	2.24383125557484e-07	0	Biggs
2	0.0133419	8	9	1.00852997056685e-07	0	Biggs
3	0.0179117	6	7	1.71283365050256e-06	0	Biggs
4	0.0123897	8	9	1.79896400226763e-07	0	Biggs
5	0.0061705	8	9	3.36716724364168e-06	0	Biggs
6	0.0083456	7	8	5.50478333513557e-08	-1.11022302462516e-16	Biggs
7	0.0070405	6	7	4.75171546372102e-07	-8.88178419700125e-16	Biggs
8	0.005814	8	9	2.64121169718232e-07	0	Biggs
9	0.005182	6	7	2.58340798596308e-06	0	Biggs
10	0.0061679	7	8	4.31112473085753e-07	0	Biggs
11	0.0070712	7	8	7.15844440184037e-06	0	Biggs
12	0.0045479	6	7	5.1732110547914e-07	0	Biggs
13	0.0058399	8	9	2.69718523207054e-07	0	Biggs
14	0.0060085	10	11	6.49405685077591e-07	0	Biggs
15	0.0063721	6	7	7.24899110240996e-08	-2.22044604925031e-16	Biggs
16	0.0044433	7	8	3.17109624100266e-07	0	Biggs
17	0.0086216	8	9	7.45151137246791e-08	0	Biggs
18	0.0063968	6	7	8.97830695988208e-08	0	Biggs
19	0.0043529	7	8	2.25616722087937e-07	0	Biggs
20	0.0148737	7	8	1.83821836511636e-07	0	Biggs
21	0.0198638	11	12	2.9589332980956e-07	1.11022302462516e-16	Biggs
22	0.0107579	6	7	6.08239976305273e-06	0	Biggs
23	0.0164233	6	7	8.79739111384055e-08	0	Biggs
24	0.0150178	8	9	9.6258126717511e-08	0	Biggs
25	0.0111992	7	8	1.89917879727495e-07	0	Biggs
26	0.016794	8	9	1.27410081532095e-07	0	Biggs
27	0.0152387	8	9	2.15391034556764e-07	0	Biggs
28	0.0149384	8	9	1.57142585855346e-07	0	Biggs
29	0.013781	9	10	9.25986555474782e-08	0	Biggs
30	0.0188007	8	9	4.45637512386593e-09	0	Biggs
31	0.0151688	8	9	1.13852692118854e-07	0	Biggs
32	0.0119051	6	7	6.0043376005756e-07	0	Biggs
33	0.0155493	8	9	1.21265837856012e-07	0	Biggs
34	0.0141766	7	8	4.02853395834364e-08	3.33066907387547e-16	Biggs
35	0.0197862	8	9	3.88861771524231e-08	0	Biggs
36	0.0149265	8	9	1.50855635986129e-07	0	Biggs
37	0.0110717	7	8	1.21206413456639e-07	0	Biggs
38	0.0174963	7	8	2.05848419037514e-07	0	Biggs
39	0.0219183	8	9	4.29693144081846e-08	0	Biggs
40	0.0170676	8	9	2.4041859934435e-08	0	Biggs
41	0.0222152	8	9	1.99871557733012e-08	0	Biggs
42	0.0185453	8	9	3.41303450532972e-07	1.11022302462516e-16	Biggs
43	0.011319	6	7	1.11344808620398e-07	-1.11022302462516e-16	Biggs
44	0.0175202	8	9	2.0418056443229e-07	0	Biggs
45	0.009979	7	8	1.35031964635452e-07	2.22044604925031e-16	Biggs
46	0.0114748	8	9	3.32444747724039e-07	0	Biggs
47	0.011843	7	8	1.0253675157959e-08	3.33066907387547e-16	Biggs
48	0.0201496	7	8	1.19319319167623e-07	1.11022302462516e-16	Biggs
49	0.0156742	10	11	7.34726016764357e-07	0	Biggs
50	0.0173548	8	9	1.14186147930078e-07	0	Biggs
