spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.023222	7	8	1.35268736668737e-06	0	DFP
2	0.0090748	6	7	6.30332508674286e-07	0	DFP
3	0.0276607	8	9	4.29779016339991e-07	-3.33066907387547e-16	DFP
4	0.0293947	8	9	1.38795935123445e-07	0	DFP
5	0.038657	8	9	7.90659096615661e-08	0	DFP
6	0.0336925	7	8	2.6047659187919e-07	0	DFP
7	0.0353861	7	8	2.36930953687028e-07	0	DFP
8	0.0194164	6	7	4.39816832676956e-07	0	DFP
9	0.0225069	6	7	1.26854333904812e-07	1.11022302462516e-16	DFP
10	0.0249768	8	9	5.72873511205682e-08	0	DFP
11	0.0263585	7	8	7.2187452498774e-08	0	DFP
12	0.0248328	8	9	1.45399977190582e-07	0	DFP
13	0.0221367	9	10	2.6589841447251e-07	0	DFP
14	0.0197087	8	9	1.00607508268416e-07	0	DFP
15	0.0118612	7	8	4.88282657711341e-07	0	DFP
16	0.0125709	6	7	1.2596070992978e-07	-1.11022302462516e-16	DFP
17	0.0171962	10	11	2.46140818737977e-07	0	DFP
18	0.0090126	8	9	4.65736056555532e-07	0	DFP
19	0.0070012	9	10	1.83244433296649e-07	0	DFP
20	0.0063452	7	8	3.36706834126953e-07	0	DFP
21	0.0056025	8	9	3.27504085399344e-07	0	DFP
22	0.0059162	6	7	2.31272168606024e-07	0	DFP
23	0.0144119	8	9	2.00085087948736e-07	0	DFP
24	0.0161133	8	9	9.63526717921329e-08	0	DFP
25	0.0116087	7	8	2.81300800666916e-08	0	DFP
26	0.006346	6	7	8.43250433171069e-08	0	DFP
27	0.0218239	9	10	8.86288986058016e-08	0	DFP
28	0.0269032	7	8	4.38215044280497e-07	0	DFP
29	0.0110646	7	8	2.23031357331039e-07	0	DFP
30	0.0133325	7	8	3.0312121207227e-07	0	DFP
31	0.0095202	6	7	4.55974961154149e-07	1.11022302462516e-16	DFP
32	0.0081158	9	10	2.87753450055126e-07	0	DFP
33	0.0054864	8	9	4.15394529240044e-08	0	DFP
34	0.0098921	9	10	6.48703511630832e-07	0	DFP
35	0.0051317	7	8	6.65123642572773e-08	1.11022302462516e-16	DFP
36	0.0070736	8	9	3.49888413445927e-07	0	DFP
37	0.0087932	8	9	2.37320249691321e-07	-4.44089209850063e-16	DFP
38	0.0077188	7	8	1.14951995881467e-07	0	DFP
39	0.0065462	8	9	9.42086078199056e-08	0	DFP
40	0.0110115	9	10	4.28160782250448e-06	0	DFP
41	0.0049811	8	9	6.3300495790293e-08	0	DFP
42	0.0059801	6	7	4.91397083326314e-07	0	DFP
43	0.0056218	8	9	5.68900360448823e-08	0	DFP
44	0.0054214	8	9	2.80244128916939e-08	0	DFP
45	0.0090099	9	10	6.4351831518824e-07	0	DFP
46	0.0045489	6	7	3.74132735843464e-07	0	DFP
47	0.0062849	8	9	3.13509833995389e-07	0	DFP
48	0.005307	8	9	1.34182648529446e-07	4.44089209850063e-16	DFP
49	0.0064611	8	9	7.16591981888182e-08	0	DFP
50	0.0091342	8	9	4.5825804515971e-08	0	DFP
