spl	Metodo	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	Huang	0.0115498	8	9	3.83190184573083e-08	0
2	Huang	0.0074837	7	8	3.58784120280001e-08	1.11022302462516e-16
3	Huang	0.0074691	8	9	2.18678583759931e-08	-3.33066907387547e-16
4	Huang	0.0054143	6	7	2.29445102769768e-07	-2.22044604925031e-16
5	Huang	0.0086607	7	8	1.83243312182037e-07	0
6	Huang	0.0077717	8	9	1.72546906719543e-07	0
7	Huang	0.007826	8	9	5.81427830726956e-07	0
8	Huang	0.0058303	6	7	2.52860807834499e-07	3.33066907387547e-16
9	Huang	0.008413	9	10	1.05556696375594e-06	0
10	Huang	0.0062656	8	9	9.82639856122166e-08	0
11	Huang	0.0047814	6	7	5.73766632580993e-08	0
12	Huang	0.0045566	6	7	3.71502799392049e-06	0
13	Huang	0.0073257	8	9	6.88443430943556e-08	0
14	Huang	0.0059079	7	8	5.91224624749469e-08	-1.11022302462516e-16
15	Huang	0.0077503	8	9	1.70201388651842e-07	0
16	Huang	0.0052605	6	7	2.21264036924157e-07	-2.22044604925031e-16
17	Huang	0.0057389	7	8	8.1866343399925e-08	1.11022302462516e-16
18	Huang	0.0062223	7	8	4.21338509673991e-06	0
19	Huang	0.0060005	9	10	4.08552950666376e-07	0
20	Huang	0.0056944	8	9	9.54523864421227e-08	0
21	Huang	0.0065665	9	10	1.30191004661797e-06	0
22	Huang	0.0054052	8	9	1.17306429434936e-08	0
23	Huang	0.0076355	9	10	3.87639986774676e-07	0
24	Huang	0.0046826	7	8	7.08520341119214e-07	0
25	Huang	0.0051889	7	8	2.21969397761655e-07	0
26	Huang	0.0074335	9	10	1.12127156664098e-07	0
27	Huang	0.007076	8	9	1.13637134153367e-07	0
28	Huang	0.0065992	7	8	2.02857731437455e-07	5.55111512312578e-16
29	Huang	0.0047992	6	7	1.60987470238315e-07	-6.66133814775094e-16
30	Huang	0.0052215	6	7	3.44299590076105e-06	0
31	Huang	0.0056817	8	9	1.21004643481527e-07	0
32	Huang	0.004862	7	8	3.76317806712591e-07	0
33	Huang	0.0069752	8	9	1.71816451977269e-07	0
34	Huang	0.0054783	7	8	1.08660850792791e-05	0
35	Huang	0.0070088	9	10	5.9649626737085e-08	0
36	Huang	0.0049615	7	8	9.5212322467614e-07	0
37	Huang	0.0059854	8	9	1.90437464317737e-07	0
38	Huang	0.0055253	7	8	6.71768845526889e-08	1.11022302462516e-16
39	Huang	0.0058043	7	8	8.78108491008318e-08	-5.55111512312578e-16
40	Huang	0.0065805	8	9	1.65924856471173e-07	0
41	Huang	0.0050197	7	8	9.20040212659285e-08	0
42	Huang	0.0070577	9	10	2.32135159457442e-07	0
43	Huang	0.0060665	8	9	1.61249409694235e-07	0
44	Huang	0.0053816	8	9	1.42365575894224e-07	0
45	Huang	0.0049852	6	7	1.18969428793933e-06	0
46	Huang	0.0058543	9	10	1.86059162705446e-06	0
47	Huang	0.0052944	6	7	5.31410714110497e-07	0
48	Huang	0.0052497	8	9	1.10735409685207e-07	0
49	Huang	0.0060925	8	9	8.2840794844718e-08	0
50	Huang	0.0059813	8	9	1.37356464168017e-07	0
