Metodo	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
DFP	0.0103266	7	8	1.35268736668737e-06	0
DFP	0.0041659	6	7	6.30332508674286e-07	0
DFP	0.0090027	8	9	4.29779016339991e-07	-3.33066907387547e-16
DFP	0.009057	8	9	1.38795935123445e-07	0
DFP	0.010842	8	9	7.90659096615661e-08	0
DFP	0.0090535	7	8	2.6047659187919e-07	0
DFP	0.0105343	7	8	2.36930953687028e-07	0
DFP	0.0069507	6	7	4.39816832676956e-07	0
DFP	0.005996	6	7	1.26854333904812e-07	1.11022302462516e-16
DFP	0.0062368	8	9	5.72873511205682e-08	0
DFP	0.0047146	7	8	7.2187452498774e-08	0
DFP	0.0056678	8	9	1.45399977190582e-07	0
DFP	0.0071999	9	10	2.6589841447251e-07	0
DFP	0.0057356	8	9	1.00607508268416e-07	0
DFP	0.0054835	7	8	4.88282657711341e-07	0
DFP	0.0052714	6	7	1.2596070992978e-07	-1.11022302462516e-16
DFP	0.0078037	10	11	2.46140818737977e-07	0
DFP	0.0059936	8	9	4.65736056555532e-07	0
DFP	0.0066654	9	10	1.83244433296649e-07	0
DFP	0.0057738	7	8	3.36706834126953e-07	0
DFP	0.0057466	8	9	3.27504085399344e-07	0
DFP	0.0055046	6	7	2.31272168606024e-07	0
DFP	0.0055539	8	9	2.00085087948736e-07	0
DFP	0.0052258	8	9	9.63526717921329e-08	0
DFP	0.0060811	7	8	2.81300800666916e-08	0
DFP	0.0042678	6	7	8.43250433171069e-08	0
DFP	0.0067508	9	10	8.86288986058016e-08	0
DFP	0.0048886	7	8	4.38215044280497e-07	0
DFP	0.0051793	7	8	2.23031357331039e-07	0
DFP	0.0054777	7	8	3.0312121207227e-07	0
DFP	0.0051019	6	7	4.55974961154149e-07	1.11022302462516e-16
DFP	0.0076949	9	10	2.87753450055126e-07	0
DFP	0.0056648	8	9	4.15394529240044e-08	0
DFP	0.0060518	9	10	6.48703511630832e-07	0
DFP	0.0072028	7	8	6.65123642572773e-08	1.11022302462516e-16
DFP	0.0056154	8	9	3.49888413445927e-07	0
DFP	0.0072055	8	9	2.37320249691321e-07	-4.44089209850063e-16
DFP	0.0052382	7	8	1.14951995881467e-07	0
DFP	0.0055391	8	9	9.42086078199056e-08	0
DFP	0.0065835	9	10	4.28160782250448e-06	0
DFP	0.0056909	8	9	6.3300495790293e-08	0
DFP	0.0065289	6	7	4.91397083326314e-07	0
DFP	0.0061525	8	9	5.68900360448823e-08	0
DFP	0.0064032	8	9	2.80244128916939e-08	0
DFP	0.0063161	9	10	6.4351831518824e-07	0
DFP	0.0041989	6	7	3.74132735843464e-07	0
DFP	0.007061	8	9	3.13509833995389e-07	0
DFP	0.0058615	8	9	1.34182648529446e-07	4.44089209850063e-16
DFP	0.0061725	8	9	7.16591981888182e-08	0
DFP	0.0059706	8	9	4.5825804515971e-08	0
BFGS	0.0068016	7	8	2.25682630904993e-07	0
BFGS	0.0063242	6	7	1.10447508154891e-07	-2.22044604925031e-16
BFGS	0.0048846	7	8	2.44956026829428e-07	0
BFGS	0.0060991	9	10	2.13495782439386e-07	0
BFGS	0.0064367	7	8	2.51548898031967e-06	0
BFGS	0.0049837	7	8	5.59202189452952e-07	0
BFGS	0.0057995	8	9	8.12546187295495e-07	0
BFGS	0.005532	6	7	4.49723919893185e-07	0
BFGS	0.0062177	7	8	1.25704456996517e-07	-3.33066907387547e-16
BFGS	0.0064361	6	7	3.53459206735952e-08	-3.33066907387547e-16
BFGS	0.0067401	8	9	7.3444710524534e-08	0
BFGS	0.0082428	8	9	5.38320653037103e-08	0
BFGS	0.0060694	7	8	2.01197564255863e-08	0
BFGS	0.0061962	6	7	3.44485598950405e-07	0
BFGS	0.0057197	8	9	5.05728141371335e-08	0
BFGS	0.0064661	8	9	2.31902356839051e-08	0
BFGS	0.0059206	6	7	1.78942967986437e-07	2.22044604925031e-16
BFGS	0.0055689	7	8	3.26578442812088e-08	1.11022302462516e-16
BFGS	0.0065657	8	9	1.97807123553592e-07	0
BFGS	0.0055794	8	9	1.58480822308404e-07	0
BFGS	0.005155	7	8	1.07316320393124e-06	0
BFGS	0.004553	6	7	1.30604876387476e-05	0
BFGS	0.006338	8	9	6.17178420533972e-08	0
BFGS	0.0066977	9	10	1.46032019647185e-07	0
BFGS	0.0057292	8	9	6.2242246853912e-08	0
BFGS	0.0060744	8	9	8.05244870174159e-06	0
BFGS	0.0056069	8	9	2.35669685761229e-07	0
BFGS	0.005418	8	9	1.29479057311013e-07	0
BFGS	0.0082548	8	9	1.95067705694514e-07	-2.22044604925031e-16
BFGS	0.004838	7	8	1.17739827043858e-07	0
BFGS	0.0065554	8	9	2.78695454780316e-07	0
BFGS	0.0051175	7	8	2.08181414291676e-07	0
BFGS	0.0058974	8	9	1.33892383730749e-07	0
BFGS	0.0051195	7	8	3.16031345898873e-07	0
BFGS	0.0061883	9	10	3.82791369687319e-08	0
BFGS	0.0061305	7	8	2.1724342360312e-06	0
BFGS	0.0056508	8	9	1.49628395539296e-08	0
BFGS	0.0065802	7	8	2.68648026930547e-08	-3.33066907387547e-16
BFGS	0.0063435	8	9	4.82357175690527e-08	-1.11022302462516e-16
BFGS	0.0043353	6	7	1.62013231145068e-06	0
BFGS	0.0052693	6	7	2.18983094063614e-08	0
BFGS	0.0051974	7	8	5.24659442643209e-06	0
BFGS	0.0046162	7	8	3.12839925055797e-07	0
BFGS	0.0070081	7	8	4.85378931865858e-07	0
BFGS	0.0051534	6	7	3.07192634533601e-07	1.11022302462516e-16
BFGS	0.0064084	8	9	1.6143933743049e-07	0
BFGS	0.0046347	6	7	1.30631982657447e-07	4.44089209850063e-16
BFGS	0.0058583	8	9	2.62047043140258e-07	0
BFGS	0.0049598	7	8	6.97474041277013e-07	0
BFGS	0.0049595	6	7	2.95283752820979e-07	-5.55111512312578e-16
Huang	0.0068745	8	9	3.83190184573083e-08	0
Huang	0.0060336	7	8	3.58784120280001e-08	1.11022302462516e-16
Huang	0.0067667	8	9	2.18678583759931e-08	-3.33066907387547e-16
Huang	0.0076432	6	7	2.29445102769768e-07	-2.22044604925031e-16
Huang	0.0055876	7	8	1.83243312182037e-07	0
Huang	0.0052597	8	9	1.72546906719543e-07	0
Huang	0.0071224	8	9	5.81427830726956e-07	0
Huang	0.0052762	6	7	2.52860807834499e-07	3.33066907387547e-16
Huang	0.0082092	9	10	1.05556696375594e-06	0
Huang	0.0068221	8	9	9.82639856122166e-08	0
Huang	0.0045988	6	7	5.73766632580993e-08	0
Huang	0.0046233	6	7	3.71502799392049e-06	0
Huang	0.0062959	8	9	6.88443430943556e-08	0
Huang	0.0078844	7	8	5.91224624749469e-08	-1.11022302462516e-16
Huang	0.0055868	8	9	1.70201388651842e-07	0
Huang	0.0073716	6	7	2.21264036924157e-07	-2.22044604925031e-16
Huang	0.0054585	7	8	8.1866343399925e-08	1.11022302462516e-16
Huang	0.0053735	7	8	4.21338509673991e-06	0
Huang	0.0067886	9	10	4.08552950666376e-07	0
Huang	0.0055709	8	9	9.54523864421227e-08	0
Huang	0.0071941	9	10	1.30191004661797e-06	0
Huang	0.0059193	8	9	1.17306429434936e-08	0
Huang	0.0068029	9	10	3.87639986774676e-07	0
Huang	0.0049459	7	8	7.08520341119214e-07	0
Huang	0.0056407	7	8	2.21969397761655e-07	0
Huang	0.0064926	9	10	1.12127156664098e-07	0
Huang	0.0055861	8	9	1.13637134153367e-07	0
Huang	0.0066784	7	8	2.02857731437455e-07	5.55111512312578e-16
Huang	0.0049982	6	7	1.60987470238315e-07	-6.66133814775094e-16
Huang	0.0046038	6	7	3.44299590076105e-06	0
Huang	0.0067083	8	9	1.21004643481527e-07	0
Huang	0.005288	7	8	3.76317806712591e-07	0
Huang	0.00628	8	9	1.71816451977269e-07	0
Huang	0.0047301	7	8	1.08660850792791e-05	0
Huang	0.0077817	9	10	5.9649626737085e-08	0
Huang	0.0050592	7	8	9.5212322467614e-07	0
Huang	0.005653	8	9	1.90437464317737e-07	0
Huang	0.007166	7	8	6.71768845526889e-08	1.11022302462516e-16
Huang	0.0056268	7	8	8.78108491008318e-08	-5.55111512312578e-16
Huang	0.0066447	8	9	1.65924856471173e-07	0
Huang	0.0051179	7	8	9.20040212659285e-08	0
Huang	0.006698	9	10	2.32135159457442e-07	0
Huang	0.005842	8	9	1.61249409694235e-07	0
Huang	0.0062104	8	9	1.42365575894224e-07	0
Huang	0.0065366	6	7	1.18969428793933e-06	0
Huang	0.0066481	9	10	1.86059162705446e-06	0
Huang	0.0053808	6	7	5.31410714110497e-07	0
Huang	0.0057819	8	9	1.10735409685207e-07	0
Huang	0.0063719	8	9	8.2840794844718e-08	0
Huang	0.0067413	8	9	1.37356464168017e-07	0
Biggs	0.0081386	8	9	2.24383125557484e-07	0
Biggs	0.0063063	8	9	1.00852997056685e-07	0
Biggs	0.0053067	6	7	1.71283365050256e-06	0
Biggs	0.0056802	8	9	1.79896400226763e-07	0
Biggs	0.0062367	8	9	3.36716724364168e-06	0
Biggs	0.006009	7	8	5.50478333513557e-08	-1.11022302462516e-16
Biggs	0.0078794	6	7	4.75171546372102e-07	-8.88178419700125e-16
Biggs	0.0070791	8	9	2.64121169718232e-07	0
Biggs	0.0067678	6	7	2.58340798596308e-06	0
Biggs	0.0062023	7	8	4.31112473085753e-07	0
Biggs	0.0060014	7	8	7.15844440184037e-06	0
Biggs	0.0068306	6	7	5.1732110547914e-07	0
Biggs	0.0061739	8	9	2.69718523207054e-07	0
Biggs	0.0090828	10	11	6.49405685077591e-07	0
Biggs	0.0063851	6	7	7.24899110240996e-08	-2.22044604925031e-16
Biggs	0.0070932	7	8	3.17109624100266e-07	0
Biggs	0.0073301	8	9	7.45151137246791e-08	0
Biggs	0.0064699	6	7	8.97830695988208e-08	0
Biggs	0.0050873	7	8	2.25616722087937e-07	0
Biggs	0.0047882	7	8	1.83821836511636e-07	0
Biggs	0.0089035	11	12	2.9589332980956e-07	1.11022302462516e-16
Biggs	0.0048267	6	7	6.08239976305273e-06	0
Biggs	0.0056784	6	7	8.79739111384055e-08	0
Biggs	0.0054773	8	9	9.6258126717511e-08	0
Biggs	0.0066417	7	8	1.89917879727495e-07	0
Biggs	0.0061833	8	9	1.27410081532095e-07	0
Biggs	0.0057251	8	9	2.15391034556764e-07	0
Biggs	0.006451	8	9	1.57142585855346e-07	0
Biggs	0.0065862	9	10	9.25986555474782e-08	0
Biggs	0.0065684	8	9	4.45637512386593e-09	0
Biggs	0.0059729	8	9	1.13852692118854e-07	0
Biggs	0.0054212	6	7	6.0043376005756e-07	0
Biggs	0.0055819	8	9	1.21265837856012e-07	0
Biggs	0.0075674	7	8	4.02853395834364e-08	3.33066907387547e-16
Biggs	0.0060896	8	9	3.88861771524231e-08	0
Biggs	0.0056584	8	9	1.50855635986129e-07	0
Biggs	0.0069064	7	8	1.21206413456639e-07	0
Biggs	0.0048294	7	8	2.05848419037514e-07	0
Biggs	0.0062534	8	9	4.29693144081846e-08	0
Biggs	0.0062122	8	9	2.4041859934435e-08	0
Biggs	0.005907	8	9	1.99871557733012e-08	0
Biggs	0.007324	8	9	3.41303450532972e-07	1.11022302462516e-16
Biggs	0.0062415	6	7	1.11344808620398e-07	-1.11022302462516e-16
Biggs	0.0060261	8	9	2.0418056443229e-07	0
Biggs	0.005666	7	8	1.35031964635452e-07	2.22044604925031e-16
Biggs	0.0068672	8	9	3.32444747724039e-07	0
Biggs	0.0057834	7	8	1.0253675157959e-08	3.33066907387547e-16
