spl	Metodo	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	DFP	0.0093859	6	336	2.62069289535517e-07	0
2	DFP	0.011654	6	364	4.32266230882289e-07	0
3	DFP	0.0104165	6	354	3.44075303751628e-07	0
4	DFP	0.0088911	6	357	9.87954700980081e-07	0
5	DFP	0.0106307	6	359	2.03906423961289e-08	0
6	DFP	0.0104778	6	378	9.05513654392319e-10	0
7	DFP	0.0107348	6	358	2.97330310346634e-07	0
8	DFP	0.0087738	5	287	1.24294347104501e-07	0
9	DFP	0.0116317	5	284	4.3787614704948e-07	0
10	DFP	0.0130102	6	350	3.59710122915445e-07	0
11	DFP	0.0076401	5	285	1.98117045642759e-07	0
12	DFP	0.0100556	6	339	4.96170418025834e-07	0
13	DFP	0.0102088	6	361	2.01919247252878e-07	0
14	DFP	0.0098015	6	359	7.64011894293693e-07	0
15	DFP	0.0099236	5	290	6.44730122234266e-07	0
16	DFP	0.010293	6	357	3.15882063337919e-07	0
17	DFP	0.0081412	5	297	1.7270896993777e-07	0
18	DFP	0.0083189	5	292	4.8041989873618e-09	0
19	DFP	0.0090837	6	319	6.62279815013338e-09	0
20	DFP	0.0116838	6	346	1.09556119227653e-06	0
21	DFP	0.009989	6	358	1.69859910372294e-07	0
22	DFP	0.0095538	6	365	3.3441669363626e-07	0
23	DFP	0.0095792	6	345	4.37033407361881e-07	0
24	DFP	0.0070567	5	289	1.06816185362146e-06	0
25	DFP	0.0154792	9	573	2.28626573994494e-07	0
26	DFP	0.0137657	8	527	6.63622573274291e-07	0
27	DFP	0.0077606	5	291	9.34055980478035e-07	0
28	DFP	0.0103785	6	352	8.71781966806176e-08	0
29	DFP	0.0132898	8	510	1.67971156824432e-08	0
30	DFP	0.0099869	6	353	3.78704591788306e-07	0
31	DFP	0.0109956	7	431	3.44681825039992e-08	0
32	DFP	0.0096263	6	361	1.25864531508291e-07	0
33	DFP	0.0096384	6	359	3.5981337531769e-07	0
34	DFP	0.0089284	6	353	1.49913080651159e-06	0
35	DFP	0.0087647	6	341	4.69607085646523e-07	0
36	DFP	0.008063	5	294	1.48336201429179e-07	0
37	DFP	0.0087363	6	354	6.35744225644076e-07	0
38	DFP	0.0095791	6	349	3.56029526076697e-08	0
39	DFP	0.0069857	5	292	5.84862928099266e-08	0
40	DFP	0.010078	6	350	3.29346172813686e-07	0
41	DFP	0.0109453	7	406	1.12978066563435e-07	0
42	DFP	0.0089999	6	354	1.0744550093392e-06	0
43	DFP	0.0079227	5	278	5.41697106175314e-07	0
44	DFP	0.0094442	6	375	2.74463906525269e-07	0
45	DFP	0.007908	5	289	7.5396802918364e-08	0
46	DFP	0.0088628	6	359	4.75930705469048e-08	0
47	DFP	0.0093514	6	348	1.09096366714098e-06	0
48	DFP	0.0074233	5	271	5.75931942936553e-07	0
49	DFP	0.0091687	6	351	2.82045076494796e-07	0
50	DFP	0.0113801	7	425	1.38404038088845e-06	0
