spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	0.0109916	6	374	3.34993914770464e-08	0
2	0.0148357	8	500	2.48309785543265e-07	0
3	0.009898	6	377	5.73124459501222e-07	0
4	0.0094601	5	287	8.26662849814194e-07	0
5	0.0073621	5	297	3.71607406214636e-07	0
6	0.0107765	6	350	1.39085296629605e-07	0
7	0.0116086	6	354	4.70789698337597e-07	0
8	0.0101111	6	350	2.84172327326411e-07	0
9	0.0170613	9	575	6.0466686942067e-08	0
10	0.0105426	7	420	1.8574648570716e-07	0
11	0.0110028	6	337	6.82377352367269e-07	0
12	0.0060228	4	234	9.51999310192534e-06	0
13	0.010359	6	353	7.4221446629625e-07	0
14	0.0109995	6	344	2.18034966501458e-06	0
15	0.0102383	6	360	3.18646827271229e-07	0
16	0.0092606	6	351	1.08886133275152e-06	0
17	0.0123631	7	432	9.06684633803882e-07	0
18	0.0087218	5	285	1.12861204295513e-06	0
19	0.0082792	5	284	2.1752018229836e-07	0
20	0.0110369	6	361	2.47966435179576e-07	0
21	0.0076526	5	286	6.54546762217842e-07	0
22	0.0146561	8	511	3.28333992789547e-07	0
23	0.0106245	6	347	2.72018251997447e-07	0
24	0.0094071	6	348	7.36200428635078e-07	0
25	0.0100701	6	372	2.04190482285268e-07	0
26	0.0149712	8	497	1.31604829475418e-06	0
27	0.0132108	7	416	6.36416437541541e-08	0
28	0.0105444	6	363	4.22538705768691e-08	0
29	0.0096763	6	362	7.27939222060747e-08	0
30	0.0106248	6	358	6.95978412445634e-08	0
31	0.0170915	10	635	5.20003803139147e-07	0
32	0.014071	8	503	1.00773210254745e-07	0
33	0.010394	6	355	2.28519366135589e-07	0
34	0.0090517	6	365	2.7408178028564e-07	0
35	0.0089032	5	290	7.8429790999662e-07	0
36	0.0120248	6	350	7.14480978401791e-07	0
37	0.0081448	5	286	4.02866659992066e-08	0
38	0.0115528	6	353	8.48789441714819e-08	0
39	0.0109188	6	349	2.56766325874625e-08	0
40	0.0095677	6	358	6.93001976686203e-07	0
41	0.011994	6	361	3.74790657849383e-07	0
42	0.0152203	6	363	5.12308104989406e-08	0
43	0.0112205	6	367	2.68832329200775e-06	0
44	0.0124237	6	360	1.15056892969524e-06	0
45	0.0102991	6	357	3.13688734672427e-07	0
46	0.0127309	6	363	3.98082790035365e-07	0
47	0.0195438	9	569	1.26876647686675e-07	0
48	0.0094013	5	288	1.19392170634842e-07	0
49	0.0120181	6	363	1.87260285176121e-07	0
50	0.01202	5	282	5.53712222715756e-07	0
