spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	0.007982	9	10	3.1903929645856e-07	0
2	0.0065099	9	10	6.63705841922093e-07	0
3	0.006098	8	9	4.19058556266781e-07	0
4	0.0094715	12	13	1.00524362200407e-07	0
5	0.0078389	9	10	2.4042113632978e-07	0
6	0.0086555	9	10	2.87247144272443e-07	0
7	0.0080165	9	10	3.60904755447033e-07	0
8	0.0083087	10	11	9.28672321872867e-08	0
9	0.0088074	9	10	3.89255797812991e-07	0
10	0.0084645	9	10	1.6535996486022e-07	0
11	0.0071532	8	9	1.85101522361858e-07	-1.66533453693773e-16
12	0.0073635	9	10	1.03629268690217e-07	0
13	0.0063014	9	10	3.29759511179219e-08	0
14	0.0064581	8	9	1.92551335377133e-07	0
15	0.006578	9	10	6.37595474819252e-07	0
16	0.0086571	11	12	4.27337576510552e-07	0
17	0.0064161	9	10	6.77528273724375e-07	0
18	0.0082175	10	11	5.15357344114736e-07	0
19	0.00673	8	9	2.35126430763967e-07	1.11022302462516e-16
20	0.0068007	9	10	4.34464771323059e-07	0
21	0.0073081	10	11	3.72644280715699e-07	0
22	0.0088083	10	11	4.96430401584383e-08	4.9960036108132e-16
23	0.0082684	11	12	2.06908995520996e-07	0
24	0.0073485	8	9	1.44720314300508e-07	-6.66133814775094e-16
25	0.0079487	11	12	1.26395807279941e-06	0
26	0.0064435	8	9	3.05169507143603e-07	0
27	0.0071548	9	10	8.19074504849474e-08	3.88578058618805e-16
28	0.0074882	10	11	4.47562260529303e-07	0
29	0.0071818	9	10	6.02718378238949e-08	5.55111512312578e-17
30	0.0057691	8	9	1.15936118792608e-07	0
31	0.0084379	11	12	6.43128231846234e-07	0
32	0.0095592	10	11	1.92235886550109e-07	-1.11022302462516e-16
33	0.0059857	8	9	2.43520470876293e-07	0
34	0.0074424	9	10	8.32599303882321e-07	0
35	0.0066762	9	10	1.37004304017865e-07	0
36	0.0069473	9	10	6.01703833354938e-07	0
37	0.0063302	9	10	3.8187079695122e-07	0
38	0.0085108	9	10	4.60164066688309e-07	0
39	0.008948	12	13	1.52431150463857e-07	0
40	0.0080922	9	10	1.15699414819544e-07	-3.88578058618805e-16
41	0.0059545	8	9	6.60849955357823e-07	0
42	0.0070957	9	10	4.0706490288739e-08	0
43	0.0053687	8	9	1.77772874668731e-07	0
44	0.0068894	9	10	2.48745492246935e-07	0
45	0.0069587	9	10	1.38567376057131e-07	0
46	0.0079804	9	10	5.0663434678779e-08	0
47	0.0063175	8	9	5.05816925233828e-07	0
48	0.0076641	9	10	9.60856568900765e-08	0
49	0.0070562	8	9	2.17085253174682e-07	-3.33066907387547e-16
50	0.0057291	8	9	4.71665321548492e-07	0
