TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
0.0068258	8	9	8.17859445084137e-07	0
0.0062388	8	9	4.87170485009191e-07	0
0.0082817	10	11	7.74408168179224e-07	0
0.0083986	10	11	3.48963036793989e-07	0
0.0059126	8	9	2.12412722682227e-07	1.11022302462516e-16
0.0074576	9	10	3.60533134133921e-07	0
0.0053334	8	9	2.38218091194312e-07	0
0.0070647	9	10	3.28709450623114e-07	0
0.0066009	9	10	7.12274994912268e-07	0
0.0064945	9	10	4.45439087179742e-07	0
0.0099225	10	11	4.86534050652993e-07	0
0.0075439	9	10	6.43326106984836e-07	0
0.0061832	9	10	1.52465530439644e-07	0
0.0079266	9	10	7.94385213187043e-07	0
0.007248	9	10	9.25307922151652e-08	0
0.0073365	9	10	1.0240834570199e-07	0
0.0060494	9	10	6.55127200952258e-09	0
0.0066959	9	10	3.79289803928695e-08	0
0.0093435	10	11	2.13913542525241e-07	1.11022302462516e-16
0.0072582	9	10	2.1001623144576e-08	5.55111512312578e-17
0.0057574	8	9	5.39652388789274e-09	0
0.0061177	9	10	2.74230294827784e-07	0
0.0075697	9	10	3.70148875689181e-08	0
0.0079576	10	11	7.74126504722787e-06	0
0.0061902	8	9	7.52490615320072e-07	0
0.0065127	9	10	2.62884268750935e-07	0
0.0071977	9	10	9.27243953674004e-06	0
0.0059344	8	9	2.50309394587393e-05	0
0.0063104	8	9	1.73242126135598e-07	0
0.0076284	9	10	2.60133631864117e-07	-1.11022302462516e-16
0.0077467	9	10	2.14709841600544e-07	4.44089209850063e-16
0.0076555	10	11	3.09004888642713e-06	0
0.0086097	11	12	1.96539077863208e-06	0
0.007417	10	11	3.78485033912083e-07	0
0.0075416	9	10	5.18842580673323e-07	0
0.0092591	12	13	4.32291250241199e-07	0
0.005076	7	8	8.97191594095945e-07	0
0.0096071	13	14	6.58749730161562e-08	0
0.008432	11	12	2.48077138215518e-07	0
0.0068325	9	10	3.67627895222771e-07	0
0.0060338	8	9	6.50767588859387e-06	0
0.0064318	9	10	5.34478406230823e-08	0
0.0060219	7	8	3.22711423475081e-08	-4.44089209850063e-16
0.0078288	10	11	3.74630309578286e-08	0
0.0079641	10	11	5.54822890057432e-08	0
0.0074931	10	11	3.60736616386069e-06	0
0.0092922	12	13	1.61497415777853e-07	0
0.0078745	10	11	5.95009746274531e-07	0
0.0079883	10	11	1.66723053892034e-07	0
0.0062836	9	10	1.45141550151807e-07	0
