spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	0.0111563	9	10	1.97153234750579e-07	0
2	0.0090647	9	10	4.60508111460592e-07	0
3	0.0075506	8	9	6.36033481539572e-07	0
4	0.0056027	7	8	1.09962476264147e-05	0
5	0.0097618	9	10	1.00033793510973e-06	0
6	0.0084324	10	11	6.12615299524142e-07	0
7	0.0080851	8	9	4.80008786834587e-07	0
8	0.0096395	8	9	3.74478873132653e-07	0
9	0.0087567	9	10	5.14024759271289e-07	0
10	0.0080563	8	9	1.64385342702652e-07	0
11	0.0077874	9	10	5.20454883396996e-07	0
12	0.0086573	10	11	5.19258433053613e-07	0
13	0.0076358	10	11	3.32416459136191e-07	0
14	0.0054625	7	8	2.37900762462755e-07	-1.11022302462516e-16
15	0.006492	9	10	7.16003728709115e-08	0
16	0.0067827	8	9	1.5237326316817e-07	0
17	0.0065857	8	9	2.94594344056386e-07	3.33066907387547e-16
18	0.0068963	9	10	4.16686533399955e-06	0
19	0.0065034	9	10	7.63377429961102e-07	0
20	0.0062363	8	9	4.93390138482134e-07	0
21	0.008351	11	12	1.11659631486589e-07	0
22	0.006888	9	10	2.76214429561722e-07	0
23	0.0063123	9	10	2.92333121603646e-07	0
24	0.0070327	8	9	7.67315117816049e-09	0
25	0.0064628	8	9	2.64407358678218e-08	0
26	0.006789	9	10	4.40092132977379e-07	0
27	0.0081295	8	9	2.56167298653214e-07	-1.11022302462516e-16
28	0.0111656	11	12	8.24252862334118e-07	0
29	0.008788	10	11	3.78829303146691e-07	0
30	0.01052	11	12	1.38999835388698e-08	0
31	0.0075402	9	10	4.191917331464e-07	0
32	0.005387	8	9	1.89212277562307e-06	0
33	0.006863	9	10	4.33928742058848e-07	0
34	0.0074683	10	11	3.41952275792263e-07	0
35	0.0061053	8	9	5.64077332763708e-08	0
36	0.0098252	9	10	6.62580428548124e-06	0
37	0.0061663	7	8	5.18198762465738e-08	0
38	0.0071195	8	9	4.77189883634052e-06	0
39	0.0092868	11	12	2.90632279151619e-07	0
40	0.0068292	10	11	2.04675882489172e-07	0
41	0.006818	8	9	1.69677534474113e-07	0
42	0.0053852	8	9	2.10718741209047e-07	0
43	0.0050858	7	8	1.37342599666162e-05	0
44	0.0069909	9	10	3.90453992565156e-07	0
45	0.0051011	8	9	3.42155215460554e-07	0
46	0.0075965	9	10	3.07289891027777e-07	0
47	0.0051046	7	8	1.28604118514939e-05	0
48	0.0073856	8	9	1.57429113627891e-07	-2.22044604925031e-16
49	0.0069688	8	9	1.73712371654611e-07	2.22044604925031e-16
50	0.0096741	12	13	2.03696265453205e-07	0
