spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.0102058	5	283	1.16962149812341	0	DFP
2	0.007259	5	282	1.1544992332137	0	DFP
3	0.0157758	9	608	0.027654267936845	2.22044604925031e-16	DFP
4	0.0110975	6	432	0.587238577917249	-1.33226762955019e-15	DFP
5	0.0181107	11	765	0.0505624309031365	-3.33066907387547e-16	DFP
6	0.0089262	6	360	1.28634239546807	0	DFP
7	0.0098818	6	429	0.0583369924739976	5.55111512312578e-17	DFP
8	0.0066563	4	287	0.112106518573953	1.11022302462516e-16	DFP
9	0.0086101	6	362	1.22453420063769	0	DFP
10	0.0087034	6	356	1.04975856026618	0	DFP
11	0.0066243	4	283	0.0960670044503097	-1.11022302462516e-16	DFP
12	0.0073616	5	285	1.29189904381192	0	DFP
13	0.0089038	6	357	1.20962325169841	0	DFP
14	0.0068778	4	287	0.154315960254015	-1.11022302462516e-16	DFP
15	0.0092792	5	361	0.435039455650846	-1.11022302462516e-16	DFP
16	0.0080951	6	354	0.126211368984092	0	DFP
17	0.0105594	6	336	0.258853312553257	0	DFP
18	0.0176795	11	792	0.0896315299258704	-2.77555756156289e-16	DFP
19	0.0081002	5	356	0.0554686894357703	-8.32667268468867e-16	DFP
20	0.0101029	6	431	0.0756172304892424	-8.88178419700125e-16	DFP
21	0.0196893	12	846	0.00812532689622538	3.88578058618805e-16	DFP
22	0.0088516	5	356	0.375083978969816	-1.66533453693773e-16	DFP
23	0.0071845	5	283	0.536547659101485	0	DFP
24	0.0090036	6	357	1.00234709234738	0	DFP
25	0.0076596	5	283	1.28356534075842	0	DFP
26	0.0214173	13	933	0.0925022498958453	2.77555756156289e-16	DFP
27	0.0081944	5	356	0.884588108923758	-1.22124532708767e-15	DFP
28	0.0126295	9	558	0.292579802436525	0	DFP
29	0.0258407	13	894	0.109228354844773	2.22044604925031e-16	DFP
30	0.0144606	6	363	1.14947998719295	0	DFP
31	0.0104206	5	367	0.834272345910934	-1.16573417585641e-15	DFP
32	0.0093198	4	288	1.05408292755585	-1.77635683940025e-15	DFP
33	0.0257851	14	971	0.00425976558947265	-2.77555756156289e-16	DFP
34	0.017386	10	693	0.00616397218849607	1.66533453693773e-16	DFP
35	0.0120853	7	419	1.19163873249336	0	DFP
36	0.0149117	8	575	1.20801805316036	-6.10622663543836e-16	DFP
37	0.0273705	13	919	0.00887437137853232	1.11022302462516e-16	DFP
38	0.0116733	6	420	0.0579563284198426	2.77555756156289e-16	DFP
39	0.011627	6	362	0.283061169713823	0	DFP
40	0.0229314	13	907	0.00443810376594113	-3.33066907387547e-16	DFP
41	0.0087211	6	348	0.82484057601042	0	DFP
42	0.0103542	7	426	0.226128538674995	0	DFP
43	0.0160188	10	686	0.0434139261537467	-1.66533453693773e-16	DFP
44	0.0089589	6	356	0.166331058839583	0	DFP
45	0.0075589	4	284	1.06231416370266	-8.32667268468867e-16	DFP
46	0.0063856	4	288	0.166476196451873	2.22044604925031e-16	DFP
47	0.0094404	6	351	0.0621250892962188	0	DFP
48	0.0070782	5	287	0.30130256666689	0	DFP
49	0.0078604	5	281	1.02745863694641	0	DFP
50	0.0073309	5	288	0.215857177188964	0	DFP
