spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.0099267	6	358	5.04460434508581e-08	0	Biggs
2	0.0069369	5	290	5.12236031853269e-07	0	Biggs
3	0.0103749	6	362	2.74301984997917e-08	0	Biggs
4	0.0134595	8	489	8.26302292186012e-08	0	Biggs
5	0.0092564	6	357	7.6130864525628e-07	0	Biggs
6	0.0093523	6	359	2.46777560605661e-07	0	Biggs
7	0.0124525	5	289	1.22908556734748e-07	0	Biggs
8	0.0184287	7	426	1.56045812633839e-07	0	Biggs
9	0.0140999	6	361	1.36518968673634e-06	0	Biggs
10	0.0089774	6	351	6.15799899695259e-07	0	Biggs
11	0.0089935	6	357	7.23726370402538e-07	0	Biggs
12	0.0085222	5	272	4.80791265302644e-07	0	Biggs
13	0.0088568	6	360	5.78465535538203e-07	0	Biggs
14	0.0113375	6	363	4.05422865147688e-07	0	Biggs
15	0.0175375	7	431	4.12448616967229e-08	0	Biggs
16	0.0127692	5	276	1.96399040783188e-07	0	Biggs
17	0.0156213	6	358	1.10494326354691e-07	0	Biggs
18	0.0122256	6	358	2.88313056811288e-07	0	Biggs
19	0.0135298	6	351	1.13849951290147e-07	0	Biggs
20	0.0107967	6	359	1.16793882455102e-06	0	Biggs
21	0.014171	5	286	1.9161442600915e-08	0	Biggs
22	0.0202354	6	349	9.07384504399914e-07	0	Biggs
23	0.0182564	8	497	1.13356197708868e-09	0	Biggs
24	0.0121036	5	294	2.38553041630971e-07	0	Biggs
25	0.0125154	5	271	4.46862361023925e-07	0	Biggs
26	0.0168658	6	347	2.56750116664599e-07	0	Biggs
27	0.0216248	6	358	5.41692337000076e-07	0	Biggs
28	0.0171273	6	369	5.04608873931001e-07	0	Biggs
29	0.013585	6	354	8.98590100019518e-08	0	Biggs
30	0.0078398	5	292	1.19612828835553e-07	0	Biggs
31	0.0076491	5	277	1.2831606785247e-07	0	Biggs
32	0.0094539	6	350	1.37531828308411e-06	0	Biggs
33	0.0097162	6	330	2.45786343788653e-07	0	Biggs
34	0.0107366	6	355	2.55852561433776e-08	0	Biggs
35	0.0112373	6	362	2.05678474699571e-07	0	Biggs
36	0.0156528	6	361	1.07686943790387e-07	0	Biggs
37	0.0093502	6	357	3.7767317844881e-07	0	Biggs
38	0.0165978	7	412	4.78271095017018e-07	0	Biggs
39	0.0098035	5	280	1.35864409802396e-07	0	Biggs
40	0.0140275	6	355	1.38344186229946e-07	0	Biggs
41	0.0143821	6	368	1.32970220018793e-06	0	Biggs
42	0.0136552	6	359	4.168403861253e-07	0	Biggs
43	0.0109159	6	363	1.15355703000946e-07	0	Biggs
44	0.0101919	6	369	1.43303538038245e-07	0	Biggs
45	0.0143251	6	358	6.86280953279706e-07	0	Biggs
46	0.0113956	6	364	4.40400078658246e-07	0	Biggs
47	0.0122036	6	327	1.30093051847951e-08	0	Biggs
48	0.0109825	7	438	2.49103644335694e-07	0	Biggs
49	0.0086959	5	291	1.7395312787167e-07	0	Biggs
50	0.0079887	5	271	4.27460153097505e-07	0	Biggs
