spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.0058003	9	10	3.1903929645856e-07	0	BFGS
2	0.0067999	9	10	6.63705841922093e-07	0	BFGS
3	0.0049527	8	9	4.19058556266781e-07	0	BFGS
4	0.0074974	12	13	1.00524362200407e-07	0	BFGS
5	0.0179391	9	10	2.4042113632978e-07	0	BFGS
6	0.0185815	9	10	2.87247144272443e-07	0	BFGS
7	0.0076699	9	10	3.60904755447033e-07	0	BFGS
8	0.0092258	10	11	9.28672321872867e-08	0	BFGS
9	0.0064769	9	10	3.89255797812991e-07	0	BFGS
10	0.00579	9	10	1.6535996486022e-07	0	BFGS
11	0.0070334	8	9	1.85101522361858e-07	-1.66533453693773e-16	BFGS
12	0.006862	9	10	1.03629268690217e-07	0	BFGS
13	0.005282	9	10	3.29759511179219e-08	0	BFGS
14	0.0063803	8	9	1.92551335377133e-07	0	BFGS
15	0.0056589	9	10	6.37595474819252e-07	0	BFGS
16	0.0080197	11	12	4.27337576510552e-07	0	BFGS
17	0.0054847	9	10	6.77528273724375e-07	0	BFGS
18	0.0093955	10	11	5.15357344114736e-07	0	BFGS
19	0.0056056	8	9	2.35126430763967e-07	1.11022302462516e-16	BFGS
20	0.0080245	9	10	4.34464771323059e-07	0	BFGS
21	0.0073173	10	11	3.72644280715699e-07	0	BFGS
22	0.0076571	10	11	4.96430401584383e-08	4.9960036108132e-16	BFGS
23	0.0076938	11	12	2.06908995520996e-07	0	BFGS
24	0.0056599	8	9	1.44720314300508e-07	-6.66133814775094e-16	BFGS
25	0.0097641	11	12	1.26395807279941e-06	0	BFGS
26	0.0065384	8	9	3.05169507143603e-07	0	BFGS
27	0.0063054	9	10	8.19074504849474e-08	3.88578058618805e-16	BFGS
28	0.0069779	10	11	4.47562260529303e-07	0	BFGS
29	0.0074905	9	10	6.02718378238949e-08	5.55111512312578e-17	BFGS
30	0.0044677	8	9	1.15936118792608e-07	0	BFGS
31	0.0083715	11	12	6.43128231846234e-07	0	BFGS
32	0.0084408	10	11	1.92235886550109e-07	-1.11022302462516e-16	BFGS
33	0.008258	8	9	2.43520470876293e-07	0	BFGS
34	0.0073965	9	10	8.32599303882321e-07	0	BFGS
35	0.0059225	9	10	1.37004304017865e-07	0	BFGS
36	0.0055463	9	10	6.01703833354938e-07	0	BFGS
37	0.0078291	9	10	3.8187079695122e-07	0	BFGS
38	0.0064943	9	10	4.60164066688309e-07	0	BFGS
39	0.0094656	12	13	1.52431150463857e-07	0	BFGS
40	0.0095926	9	10	1.15699414819544e-07	-3.88578058618805e-16	BFGS
41	0.0068181	8	9	6.60849955357823e-07	0	BFGS
42	0.0064909	9	10	4.0706490288739e-08	0	BFGS
43	0.0058676	8	9	1.77772874668731e-07	0	BFGS
44	0.0091868	9	10	2.48745492246935e-07	0	BFGS
45	0.0065173	9	10	1.38567376057131e-07	0	BFGS
46	0.007748	9	10	5.0663434678779e-08	0	BFGS
47	0.0058087	8	9	5.05816925233828e-07	0	BFGS
48	0.0066141	9	10	9.60856568900765e-08	0	BFGS
49	0.0080422	8	9	2.17085253174682e-07	-3.33066907387547e-16	BFGS
50	0.0055268	8	9	4.71665321548492e-07	0	BFGS
