spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P	Metodo
1	0.0102666	8	9	1.70489852615792e-06	0	Huang
2	0.0141777	7	8	1.83606260119924e-07	0	Huang
3	0.006648	9	10	8.22026174910176e-09	0	Huang
4	0.0072002	7	8	1.73083300177194e-08	0	Huang
5	0.0054562	8	9	1.20632266046516e-07	0	Huang
6	0.0096758	9	10	3.16908270205559e-07	0	Huang
7	0.0075968	10	11	4.97378161164257e-07	0	Huang
8	0.0106119	9	10	2.53527314958254e-07	0	Huang
9	0.0062807	9	10	1.68178058700979e-07	0	Huang
10	0.0085687	7	8	8.54169501055004e-08	0	Huang
11	0.011832	11	12	2.35943233679278e-08	0	Huang
12	0.0047541	7	8	1.60390835841219e-07	-4.44089209850063e-16	Huang
13	0.0081329	8	9	7.03212098107128e-07	0	Huang
14	0.0059912	8	9	6.40713195961989e-08	0	Huang
15	0.0049184	8	9	2.12361533739689e-08	0	Huang
16	0.0062731	8	9	3.54027535072652e-08	0	Huang
17	0.009864	8	9	6.56064466623846e-07	0	Huang
18	0.0099232	8	9	2.00129922328581e-07	0	Huang
19	0.0148472	10	11	2.34319113464236e-07	0	Huang
20	0.0103712	9	10	8.99119527254743e-08	0	Huang
21	0.0067855	10	11	1.0213876764041e-07	0	Huang
22	0.0113215	8	9	4.89372997071097e-08	0	Huang
23	0.0089801	9	10	7.4781602675899e-07	0	Huang
24	0.0103943	8	9	5.67038762907556e-07	0	Huang
25	0.0102544	8	9	2.0494065710171e-07	0	Huang
26	0.0091094	8	9	3.3819528602255e-07	0	Huang
27	0.0060017	6	7	6.13406622536682e-07	0	Huang
28	0.0147839	11	12	9.64703312063539e-08	0	Huang
29	0.005797	7	8	2.90851439612555e-07	0	Huang
30	0.0098269	12	13	1.68952946563368e-07	0	Huang
31	0.0102085	9	10	5.76079926403523e-08	-2.22044604925031e-16	Huang
32	0.019534	8	9	8.74318661951828e-07	0	Huang
33	0.0195524	10	11	6.21725684923099e-07	0	Huang
34	0.0159536	8	9	6.68164496921546e-07	0	Huang
35	0.013181	7	8	5.32531140335422e-07	0	Huang
36	0.0169006	9	10	4.22877297967801e-07	0	Huang
37	0.0146133	8	9	2.00420158482445e-07	1.11022302462516e-16	Huang
38	0.0166227	8	9	1.52677454899803e-07	0	Huang
39	0.0182729	8	9	8.95266222517948e-09	0	Huang
40	0.0071818	8	9	1.49158608322809e-07	0	Huang
41	0.0109949	8	9	5.09039338462071e-07	0	Huang
42	0.0075725	8	9	2.05908323472349e-08	0	Huang
43	0.0100523	9	10	4.40698778857454e-08	0	Huang
44	0.0111795	10	11	2.69942427309452e-07	0	Huang
45	0.0068072	8	9	5.65614487814037e-07	0	Huang
46	0.0115218	9	10	7.04197228762045e-08	0	Huang
47	0.0099845	7	8	7.31477049180949e-07	0	Huang
48	0.0086187	8	9	2.38278269017094e-07	0	Huang
49	0.0105278	9	10	1.59297639786562e-07	0	Huang
50	0.0073397	9	10	4.76185372007705e-08	0	Huang
